t	Ecin	Epot	Rg	buf4	buf5
40000.000000	0.500333	0.510482	0.798224	0.658488	-0.002491
40001.000000	0.500331	0.510483	0.798220	0.658482	-0.002490
40002.000000	0.500329	0.510487	0.798217	0.658477	-0.002490
40003.000000	0.500323	0.510481	0.798222	0.658485	-0.002487
40004.000000	0.500318	0.510478	0.798227	0.658495	-0.002484
40005.000000	0.500314	0.510474	0.798231	0.658502	-0.002487
40006.000000	0.500310	0.510469	0.798233	0.658503	-0.002477
40007.000000	0.500307	0.510464	0.798235	0.658507	-0.002462
40008.000000	0.500308	0.510467	0.798235	0.658507	-0.002456
40009.000000	0.500310	0.510463	0.798232	0.658501	-0.002458
40010.000000	0.500316	0.510475	0.798231	0.658500	-0.002453
40011.000000	0.500319	0.510478	0.798230	0.658499	-0.002445
40012.000000	0.500320	0.510480	0.798229	0.658497	-0.002452
40013.000000	0.500315	0.510471	0.798234	0.658505	-0.002449
40014.000000	0.500314	0.510471	0.798242	0.658518	-0.002431
40015.000000	0.500311	0.510464	0.798249	0.658531	-0.002409
40016.000000	0.500314	0.510467	0.798250	0.658533	-0.002399
40017.000000	0.500314	0.510469	0.798248	0.658530	-0.002390
40018.000000	0.500316	0.510470	0.798243	0.658523	-0.002382
40019.000000	0.500321	0.510477	0.798243	0.658521	-0.002374
40020.000000	0.500319	0.510473	0.798240	0.658517	-0.002366
40021.000000	0.500317	0.510468	0.798238	0.658513	-0.002358
40022.000000	0.500318	0.510461	0.798235	0.658508	-0.002362
40023.000000	0.500318	0.510456	0.798238	0.658512	-0.002373
40024.000000	0.500315	0.510452	0.798238	0.658513	-0.002373
40025.000000	0.500316	0.510456	0.798237	0.658511	-0.002366
40026.000000	0.500319	0.510458	0.798237	0.658510	-0.002360
40027.000000	0.500323	0.510466	0.798238	0.658511	-0.002369
40028.000000	0.500325	0.510468	0.798239	0.658513	-0.002377
40029.000000	0.500325	0.510474	0.798243	0.658520	-0.002380
40030.000000	0.500325	0.510475	0.798241	0.658515	-0.002376
40031.000000	0.500324	0.510479	0.798236	0.658508	-0.002371
40032.000000	0.500327	0.510485	0.798232	0.658502	-0.002367
40033.000000	0.500329	0.510488	0.798231	0.658500	-0.002361
40034.000000	0.500327	0.510481	0.798232	0.658502	-0.002350
40035.000000	0.500325	0.510476	0.798229	0.658496	-0.002354
40036.000000	0.500325	0.510475	0.798233	0.658504	-0.002366
40037.000000	0.500330	0.510486	0.798233	0.658503	-0.002369
40038.000000	0.500338	0.510488	0.798231	0.658499	-0.002368
40039.000000	0.500347	0.510488	0.798229	0.658496	-0.002363
40040.000000	0.500341	0.510479	0.798226	0.658491	-0.002359
40041.000000	0.500338	0.510477	0.798222	0.658485	-0.002356
40042.000000	0.500341	0.510484	0.798226	0.658492	-0.002365
40043.000000	0.500339	0.510483	0.798227	0.658494	-0.002377
40044.000000	0.500341	0.510487	0.798230	0.658499	-0.002380
40045.000000	0.500348	0.510491	0.798236	0.658510	-0.002369
40046.000000	0.500359	0.510495	0.798233	0.658505	-0.002365
40047.000000	0.500360	0.510499	0.798231	0.658501	-0.002370
